素材名称,广告ID,投手,平台,素材类型,落地页类型,花费($),曝光,点击,Sessions,HVU数,CPHQ($),投放状态,素材主题标签,落地页URL,FB广告库链接,数据备注,季度
组9·奶狗·视频,260303_hzm_facebook_2wpj,HZM,Facebook,视频,剧情详情,208.21,5952,185,643,238,0.87,暂停,人物角色,https://www.creviatech.com/scenarios/2286-childhood-sweetheart-s-secret-tutoring-cunnilingus-first-time,,有UTM追踪,2026Q1
组8·医生·视频,2026q1t_huang_facebook_theater_0302,HZM,Facebook,视频,剧情详情,68.22,3190,295,514,105,0.65,暂停,人物角色,https://www.creviatech.com/scenarios/781-doctor-s-prescription-fingering-cunnilingus-multiple-orgasms,,有UTM追踪,2026Q1
组13·弯棒·视频,260305_hzm_facebook_j11m,HZM,Facebook,视频,产品详情,249.3,9686,1261,2116,200,1.25,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181026-twin-covenan,,有UTM追踪,2026Q1
JADS·漫画投放1,2026q1t_lu_juicyads_theater_0227,LZL,JuicyAds,漫画,剧情详情,149.3,6443133,2359,626,119,1.25,投放中,漫画,https://www.creviatech.com/zh/scenarios/2031-my-brother-s-forced-love-trap,,有UTM追踪,2026Q1
组11·产品列表·视频,260304_hzm_facebook_6nza,HZM,Facebook,视频,产品列表,21.97,1122,100,311,33,0.67,已删除,"产品特写, 宽泛承接",https://www.creviatech.com/ai-sex-toys,,有UTM追踪,2026Q1
组14·直棒·视频,260305_hzm_facebook_nijf,HZM,Facebook,视频,产品详情,252.13,12075,1593,1204,102,2.47,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181025-deep-surge,,有UTM追踪,2026Q1
组16·肛塞·视频,260305_hzm_facebook_1c5d,HZM,Facebook,视频,产品详情,248.97,9143,1030,912,69,3.61,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181029-secret-of-trembling,,有UTM追踪,2026Q1
组22·乙游秦彻·视频,260318_hzm_facebook_0deef6dc,HZM,Facebook,视频,剧情详情,230.15,6248,420,337,54,4.26,投放中,人物角色,https://www.creviatech.com/scenarios/4726-surrender-to-his-obsession,,有UTM追踪,2026Q1
组18·八爪鱼·视频,260315_hzm_facebook_0fun,HZM,Facebook,视频,产品详情,240.75,9374,738,678,53,4.54,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181027-intimate-contact,,有UTM追踪,2026Q1
组19·海边·视频,260316_hzm_facebook_09w7,HZM,Facebook,视频,剧情详情,124.13,4082,341,156,22,5.64,投放中,剧情向,https://www.creviatech.com/scenarios/1300-summer-queen-bareback-creampie,,有UTM追踪,2026Q1
JADS·漫画投放2,2026q1t_lu_juicyads_theater_0302,LZL,JuicyAds,漫画,剧情详情,31.0,115804,746,100,6,5.17,投放中,漫画,https://www.creviatech.com/scenarios/1752-accidental-intimacy,,有UTM追踪,2026Q1
组21·办公室·视频,260317_hzm_facebook_0662866e,HZM,Facebook,视频,剧情详情,102.66,3605,247,122,13,7.9,投放中,待标注,https://www.creviatech.com/scenarios/2030-payment-in-kind,,有UTM追踪,2026Q1
JADS·漫画1-B,260317_lzl_juicyads_f78fa270,LZL,JuicyAds,漫画,产品列表,149.3,6443133,2359,91,20,7.47,投放中,"宽泛承接, 漫画",https://www.creviatech.com/zh/ai-sex-toys,,有UTM追踪,2026Q1
组20·蘑菇·视频,260316_hzm_facebook_3974,HZM,Facebook,视频,产品详情,129.89,6265,614,261,16,8.12,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181028-first-flutter,,有UTM追踪,2026Q1
组7·警长搜索·视频,260312_hzm_facebook_5j7u,HZM,Facebook,视频,剧情详情,348.58,26077,1022,597,32,10.89,投放中,人物角色,https://www.creviatech.com/scenarios/2028-officer-s-secret,,有UTM追踪,2026Q1
EXO·剧情2,260304_lzl_exoclick_qr6g,LZL,ExoClick,视频,剧情详情,52.36,1835432,5236,565,14,3.74,投放中,剧情向,https://www.creviatech.com/scenarios/2030-payment-in-kind,,有UTM追踪,2026Q1
EXO·剧情5,260320_lzl_exoclick_42e297e5,LZL,ExoClick,视频,剧情详情,73.34,135339,3667,726,4,18.34,投放中,剧情向,https://www.creviatech.com/scenarios/1747-forbidden-fruit,,有UTM追踪,2026Q1
EXO·剧情1,260303_lzl_exoclick_zo0s,LZL,ExoClick,视频,剧情详情,26.45,2645059,487,21,7,3.78,投放中,剧情向,https://www.creviatech.com/scenarios/2033-more-times-like-this,,有UTM追踪,2026Q1
EXO·剧情3,260313_lzl_exoclick_o60w,LZL,ExoClick,视频,剧情详情,4.68,848020,234,66,4,1.17,投放中,剧情向,https://www.creviatech.com/scenarios/1747-forbidden-fruit,,有UTM追踪,2026Q1
组40·Paris·ZXR,260325_zxr_facebook_452077f7,ZXR,Facebook,视频,剧情详情,174.0,4175,65,52,3,58.0,投放中,剧情向,https://www.creviatech.com/scenarios/3003-forbidden-love-in-paris,,有UTM追踪,2026Q1
组17·警长·视频,260315_hzm_facebook_tgcb,HZM,Facebook,视频,剧情详情,250.43,10544,267,171,7,35.78,投放中,人物角色,https://www.creviatech.com/scenarios/1648-paranoid-lover-s-return,,有UTM追踪,2026Q1
组15·巴黎·视频,260305_hzm_facebook_hte0,HZM,Facebook,视频,剧情详情,55.46,979,10,10,2,27.73,暂停,剧情向,https://www.creviatech.com/scenarios/3003-forbidden-love-in-paris,,有UTM追踪,2026Q1
组39·Summer·ZXR,260325_zxr_facebook_d0ff64ad,ZXR,Facebook,视频,剧情详情,8.34,136,2,10,1,8.34,已删除,剧情向,https://www.creviatech.com/scenarios/1300-summer-queen,,有UTM追踪,2026Q1
组23·魔法师·视频,260318_hzm_facebook_c566e1db,HZM,Facebook,视频,剧情详情,99.24,2905,134,5,1,99.24,投放中,待标注,https://www.creviatech.com/scenarios/2293-guide-to-corrupting-archmage,,有UTM追踪,2026Q1
JADS·视频投放1,2026q1t_lu_juicyads_theater_0226,LZL,JuicyAds,视频,剧情详情,71.4,304403,22,13,,,投放中,待标注,https://www.creviatech.com/scenarios/1648-paranoid-lover-s-return,,有UTM追踪,2026Q1
组10·热门列表·视频,260303_hzm_facebook_jx90,HZM,Facebook,视频,剧场列表,58.41,2733,124,,,,暂停,待标注,https://www.creviatech.com/scenarios/page?tab=popular&page=1,,有UTM追踪,2026Q1
EXO·剧情4,260314_lzl_exoclick_htzn,LZL,ExoClick,视频,剧情详情,20.8,21616,520,98,,,投放中,剧情向,https://www.creviatech.com/scenarios/781-doctor-s-prescription,,有UTM追踪,2026Q1
组12·图片产品列表,260304_hzm_facebook_83cp,HZM,Facebook,图片,产品列表,14.03,253,9,,,,暂停,"静态图, 产品特写, 宽泛承接",https://www.creviatech.com/ai-sex-toys,,有UTM追踪,2026Q1
广告组31：（阴湿男）视频→剧场详情,120241779094650122,CHJ,Facebook,视频,剧情详情,209.23,4717,204,101,9,23.25,投放中,剧情向,https://www.creviatech.com/scenarios/4728-tamed-by-your-whip-bondage-possessiveness-d-s-pet-play-switch,https://www.facebook.com/ads/library/?id=120241779094650122,✓UTM已恢复,2026Q1
广告组24：（隔间的秘密）视频→剧场详情,120240618341560578,HZM,Facebook,视频,剧情详情,202.59,7873,67,39,9,22.51,停止,剧情向,https://www.creviatech.com/scenarios/1752-accidental-intimacy-and-summer-heat-cunnilingus-oral-sex-masturbation,https://www.facebook.com/ads/library/?id=120240618341560578,✓UTM已恢复,2026Q1
广告组26：（狡猾的私教）视频→剧情详情,120241737240070122,HZM,Facebook,视频,剧情详情,198.51,17747,856,405,23,8.63,投放中,剧情向,https://www.creviatech.com/scenarios/915-forbidden-spring-break-affair-age-gap-cheating-rough-sex-exhibitionism,https://www.facebook.com/ads/library/?id=120241737240070122,✓UTM已恢复,2026Q1
广告组33：（女生图片1）图片→首页,120241779771190122,ZXR,Facebook,图片,首页,196.18,8717,828,554,46,4.27,投放中,"静态图, 宽泛承接",https://www.creviatech.com/,https://www.facebook.com/ads/library/?id=120241779771190122,✓UTM已恢复,2026Q1
广告组25：（蓄意的挑衅）视频→剧情详情,120241733224900122,HZM,Facebook,视频,剧情详情,194.63,17082,1365,526,13,14.97,投放中,剧情向,https://www.creviatech.com/scenarios/2726-he-reads-my-dirty-mind-dominance-submission-d-s-bondage-discipline,https://www.facebook.com/ads/library/?id=120241733224900122,✓UTM已恢复,2026Q1
广告组32：（八爪鱼）产品视频→产品详情,120241779390160122,CHJ,Facebook,视频,产品详情,192.99,4784,168,77,10,19.3,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181027-intimate-contact,https://www.facebook.com/ads/library/?id=120241779390160122,✓UTM已恢复,2026Q1
广告组30：（狡猾的私教）视频→剧场详情,120241774627290122,HNN,Facebook,视频,剧情详情,187.92,6965,407,272,38,4.95,投放中,待标注,https://www.creviatech.com/scenarios/2300-she-thought-it-was-hunting-training-multiple-orgasms-dubiousconsent,https://www.facebook.com/ads/library/?id=120241774627290122,✓UTM已恢复,2026Q1
广告组29：（弯棒）产品视频→产品详情,120241774571970122,HNN,Facebook,视频,产品详情,187.12,7489,403,199,26,7.2,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181026-twin-covenant,https://www.facebook.com/ads/library/?id=120241774571970122,✓UTM已恢复,2026Q1
广告组38：（以物易物）视频→剧场详情,120241820136040122,HNN,Facebook,视频,剧情详情,172.14,3641,80,49,3,57.38,投放中,剧情向,https://www.creviatech.com/scenarios/2030-payment-in-kind-cunnilingus-kissing-penetrative-sex-cream-pie,https://www.facebook.com/ads/library/?id=120241820136040122,✓UTM已恢复,2026Q1
广告组35：（肛塞）图片→产品详情,120241819740440122,HZM,Facebook,图片,产品详情,171.53,4149,99,67,2,85.77,投放中,"静态图, 产品特写",https://www.creviatech.com/ai-sex-toys/1181029-trembling-secret,https://www.facebook.com/ads/library/?id=120241819740440122,✓UTM已恢复,2026Q1
广告组36：（银发男）图片→剧情详情,120241819859050122,HZM,Facebook,图片,剧情详情,171.36,3038,87,71,14,12.24,投放中,"静态图, 人物角色, 剧情向",https://www.creviatech.com/scenarios/4726-surrender-to-his-obsession-first-time-penetration-squirting-praise,https://www.facebook.com/ads/library/?id=120241819859050122,✓UTM已恢复,2026Q1
广告组41：（药剂男）视频→剧场详情,120241820356820122,CHJ,Facebook,视频,剧情详情,169.29,3078,121,65,4,42.32,投放中,人物角色,https://www.creviatech.com/scenarios/2037-apothecary-s-prescription-medical-setting-possessiveness-power,https://www.facebook.com/ads/library/?id=120241820356820122,✓UTM已恢复,2026Q1
广告组42：（药剂男2）视频→剧场详情,120241820849000122,CHJ,Facebook,视频,剧情详情,162.61,3383,132,81,3,54.2,投放中,人物角色,https://www.creviatech.com/scenarios/2037-apothecary-s-prescription-medical-setting-possessiveness-power,https://www.facebook.com/ads/library/?id=120241820849000122,✓UTM已恢复,2026Q1
广告组37：（直棒）产品视频→产品详情,120241819949300122,HNN,Facebook,视频,产品详情,155.95,4925,177,67,4,38.99,停止,产品特写,https://www.creviatech.com/ai-sex-toys/1181025-deep-surge,https://www.facebook.com/ads/library/?id=120241819949300122,✓UTM已恢复,2026Q1
广告组45：(Why can't you...)图片→文章,120241862011520122,ZXR,Facebook,图片,文章详情,153.04,5174,70,51,1,153.04,投放中,"静态图, 内容营销",https://www.creviatech.com/zh/multisensory/womens-sexual-health/1697-why-can-t-you-get-erection-when-you-want-to-women-s-sexual-health,https://www.facebook.com/ads/library/?id=120241862011520122,✓UTM已恢复,2026Q1
广告组52：（乙游2）视频→剧场详情,120241865451280122,HZM,Facebook,视频,剧情详情,150.36,1897,49,48,6,25.06,投放中,人物角色,https://www.creviatech.com/scenarios/4727-midnight-ravaged-by-sea-alpha-dirty-talk-fingering-bondage-squirting,https://www.facebook.com/ads/library/?id=120241865451280122,✓UTM已恢复,2026Q1
广告组5：跳转到产品列表,120239860994540578,—,Facebook,视频,产品列表,142.88,8302,1065,,,,停止,"产品特写, 宽泛承接",https://www.creviatech.com/ai-sex-toys,https://www.facebook.com/ads/library/?id=120239860994540578,✗无UTM归因,2026Q1
广告组27：（蘑菇）产品视频→产品详情,120241770738870122,HZM,Facebook,视频,产品详情,135.31,6025,336,256,33,4.1,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181028-that-first-flutter,https://www.facebook.com/ads/library/?id=120241770738870122,✓UTM已恢复,2026Q1
广告组34：（女生图片2）图片→首页,120241779920860122,ZXR,Facebook,图片,首页,125.77,4134,86,5,1,125.77,投放中,"静态图, 宽泛承接",https://www.creviatech.com/,https://www.facebook.com/ads/library/?id=120241779920860122,★数据偏低,2026Q1
广告组43：(The Possession Game)视频→剧场详情,120241861650880122,ZXR,Facebook,视频,剧情详情,125.6,2640,29,17,1,125.6,投放中,剧情向,https://www.creviatech.com/scenarios/879-possession-game-possessiveness-control-domination-blowjob-cunnilingus,https://www.facebook.com/ads/library/?id=120241861650880122,✓UTM已恢复,2026Q1
广告组28：（教练的独处）视频→剧场详情,120241774532720122,HZM,Facebook,视频,剧情详情,122.42,6335,378,306,55,2.23,停止,"人物角色, 剧情向",https://www.creviatech.com/scenarios/1746-special-stamina-training-teacher-student-dynamic-cunnilingus,https://www.facebook.com/ads/library/?id=120241774532720122,✓UTM已恢复,2026Q1
广告组47：（Mastering Anilingus）图片→文章,120241870270360122,CHJ,Facebook,图片,文章详情,113.26,3151,86,65,10,11.33,投放中,"静态图, 内容营销",https://www.creviatech.com/multisensory/power-dynamics/4690-30-adventurous-sex-positions-to-spark-passion-curiosity-and-deeper,https://www.facebook.com/ads/library/?id=120241870270360122,★落地页待核实,2026Q1
广告组58：（吸血鬼）产品视频→剧情详情,120241870223190122,HNN,Facebook,视频,剧情详情,78.45,2682,6,14,1,78.45,投放中,"产品特写, 人物角色, 剧情向",https://www.creviatech.com/scenarios/2305-vampire-s-blood-ritual-vampires-dark-romance-blood-play-power,https://www.facebook.com/ads/library/?id=120241870223190122,✓UTM已恢复,2026Q1
Watch Anime,1578619,LZL,JuicyAds,视频,—,78.08,24209,1735,,,,停止,待标注,,https://www.facebook.com/ads/library/?id=1578619,✗无站内数据,2026Q1
广告组44：(Doctor's Prescription)视频→剧场,120241861934780122,ZXR,Facebook,视频,剧情详情,77.26,1920,19,19,1,77.26,投放中,剧情向,https://www.creviatech.com/scenarios/781-doctor-s-prescription-fingering-cunnilingus-multiple-orgasms,https://www.facebook.com/ads/library/?id=120241861934780122,✓UTM已恢复,2026Q1
Smuthub,2112026,LZL,JuicyAds,—,—,16.1,6432,96,,,,停止,待标注,,https://www.facebook.com/ads/library/?id=2112026,✗无站内数据,2026Q1
Erotici Racconti,1917614,—,JuicyAds,—,—,14.03,289287,27,,,,投放中,待标注,,https://www.facebook.com/ads/library/?id=1917614,✗无站内数据,2026Q1
CeritaOnline.com - Indonesian Sex Stories,2058775,—,JuicyAds,—,—,8.46,104577,20,,,,停止,待标注,,https://www.facebook.com/ads/library/?id=2058775,✗无站内数据,2026Q1
Erotic Stories in Spanish,2092912,—,JuicyAds,—,—,2.01,2090,2,,,,投放中,待标注,,https://www.facebook.com/ads/library/?id=2092912,✗无站内数据,2026Q1
300×50活动2,8187086,—,ExoClick,—,—,0.42,314376,21,,,,投放中,待标注,,https://www.facebook.com/ads/library/?id=8187086,✗无站内数据,2026Q1
NA-68684,NA-68684,—,JuicyAds,—,—,0.05,1338,2,,,,停止,待标注,,,✗无站内数据,2026Q1
